algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,81,1,25,14,94.56,5949.72,6108.00,903.07,820.76,700.00,780.51,5150.56,5245.00,882.09,3.13,0.50,4.58
FCFS,0,1,25,14,97.34,6038.88,6358.00,742.86,759.60,705.00,496.26,5240.40,5583.00,782.18,3.13,1.00,4.88
SJF,0,1,25,14,94.90,3938.56,4140.00,1929.98,1126.40,130.00,1711.47,3140.76,3274.00,1164.63,3.13,3.50,1.36
RR,81,2,25,14,93.86,6005.40,5978.00,1033.70,880.96,746.00,886.85,5205.92,5336.00,972.65,3.13,1.00,4.64
FCFS,0,2,25,14,95.75,6121.12,6458.00,776.99,770.60,712.00,504.59,5323.04,5692.00,793.87,3.13,1.00,5.44
SJF,0,2,25,14,94.26,4027.64,4113.00,1981.72,1205.08,201.00,1693.70,3229.92,3260.00,1152.17,3.13,4.00,1.46
RR,81,3,25,14,91.43,6217.84,6161.00,1048.51,821.08,781.00,737.71,5410.96,5464.00,1004.82,2.78,2.00,3.19
FCFS,0,3,25,14,94.09,6238.24,6580.00,801.63,778.00,735.00,497.02,5440.52,5846.00,811.22,3.13,1.00,5.44
SJF,0,3,25,14,92.79,4331.04,4433.00,1728.23,1017.44,95.00,1688.55,3533.08,3610.00,1236.19,2.78,3.00,1.72
RR,81,4,25,14,90.26,6215.28,6259.00,1094.16,919.72,769.00,934.00,5416.64,5616.00,1031.15,2.78,1.00,3.11
FCFS,0,4,25,14,92.35,6402.60,6813.00,774.37,784.32,771.00,503.26,5602.72,5981.00,775.57,2.78,2.00,4.79
SJF,0,4,25,14,91.58,4563.92,5148.00,1930.65,685.24,124.00,1042.49,3764.52,3889.00,1208.93,2.78,2.00,1.86
RR,81,5,25,14,88.54,6341.60,6316.00,1082.64,945.92,790.00,964.29,5540.88,5618.00,1029.88,2.78,2.00,3.23
FCFS,0,5,25,14,91.04,6446.56,6879.00,828.16,797.72,778.00,505.53,5649.68,6094.00,814.66,2.78,1.00,4.21
SJF,0,5,25,14,91.11,4507.60,4869.00,1991.96,1173.80,111.00,1714.58,3709.56,3812.00,1384.20,2.78,2.00,2.05
RR,81,1,25,25,95.51,5707.60,5937.00,1176.26,734.44,542.00,828.91,4958.64,5039.00,1163.81,3.13,1.50,4.16
FCFS,0,1,25,25,97.45,5650.60,6274.00,1051.60,737.36,610.00,589.98,4904.60,5532.00,1030.83,3.13,2.50,4.02
SJF,0,1,25,25,97.27,3799.32,3978.00,1880.78,729.72,88.00,1429.28,3053.80,3204.00,1040.47,3.13,3.50,1.46
RR,81,2,25,25,93.55,5752.44,5880.00,1220.39,694.16,553.00,760.84,5004.24,5210.00,1189.40,2.78,2.00,3.27
FCFS,0,2,25,25,95.69,5794.60,6369.00,1011.81,739.12,634.00,587.87,5049.40,5573.00,1026.85,3.13,2.50,4.29
SJF,0,2,25,25,95.69,4016.64,4146.00,1997.24,645.04,78.00,1208.73,3269.20,3289.00,1221.28,3.13,3.50,1.55
RR,81,3,25,25,91.79,5979.88,6038.00,1164.27,706.80,498.00,778.11,5231.88,5404.00,1148.19,2.78,2.00,3.67
FCFS,0,3,25,25,93.81,5961.64,6546.00,940.40,756.04,611.00,604.24,5214.44,5746.00,976.70,3.13,1.50,4.73
SJF,0,3,25,25,92.81,3894.72,3878.00,1984.69,1253.60,92.00,1998.22,3148.48,3463.00,1322.87,3.13,4.00,1.25
RR,81,4,25,25,88.50,6176.32,6288.00,1271.86,710.88,518.00,790.56,5428.16,5619.00,1248.44,2.78,2.00,3.07
FCFS,0,4,25,25,92.42,6026.68,6659.00,960.30,765.72,615.00,609.67,5281.60,5775.00,980.96,2.78,1.00,4.18
SJF,0,4,25,25,92.43,3881.56,3869.00,2117.77,1119.72,99.00,1872.09,3134.76,3179.00,1357.97,2.78,3.00,1.48
RR,81,5,25,25,86.96,6261.24,6380.00,1288.69,730.24,533.00,805.83,5515.48,5699.00,1264.91,2.78,2.00,3.07
FCFS,0,5,25,25,90.99,6136.44,6796.00,985.50,779.04,625.00,626.14,5391.16,5892.00,1005.52,2.78,2.00,3.83
SJF,0,5,25,25,90.79,3859.48,3924.00,2033.17,1330.96,109.00,2065.75,3110.96,3323.00,1323.53,2.78,3.00,1.48
RR,81,1,25,36,95.99,6234.52,6185.00,819.61,913.24,838.00,741.90,5452.36,5374.00,796.15,2.78,0.00,4.35
FCFS,0,1,25,36,97.57,6189.12,6384.00,561.03,896.60,902.00,574.41,5408.36,5559.00,563.53,3.13,0.50,4.73
SJF,0,1,25,36,95.72,4201.60,4560.00,1876.60,1062.32,88.00,1849.75,3420.36,3487.00,1457.73,2.78,3.00,2.11
RR,81,2,25,36,93.17,6492.80,6481.00,897.78,924.48,848.00,732.66,5702.12,5669.00,890.41,2.78,1.00,3.83
FCFS,0,2,25,36,95.97,6318.52,6498.00,566.70,913.88,935.00,581.95,5537.72,5677.00,568.47,2.78,0.00,4.63
SJF,0,2,25,36,94.61,4215.12,4463.00,1964.84,1301.84,116.00,1892.83,3433.56,3013.00,1520.55,2.78,3.00,2.28
RR,81,3,25,36,92.10,6502.20,6442.00,790.30,1108.20,880.00,997.65,5720.04,5757.00,788.12,2.78,1.00,4.38
FCFS,0,3,25,36,94.31,6402.72,6605.00,577.35,918.28,937.00,590.69,5622.72,5770.00,583.82,2.78,0.00,4.63
SJF,0,3,25,36,93.17,4128.64,4158.00,2139.69,1302.56,90.00,1928.90,3347.48,2920.00,1456.66,2.78,3.00,1.48
RR,81,4,25,36,90.43,6614.92,6541.00,795.63,1132.40,905.00,1019.94,5833.52,5812.00,795.09,2.78,1.00,4.15
FCFS,0,4,25,36,92.85,6549.92,6745.00,581.58,949.04,971.00,607.50,5768.76,5906.00,597.83,2.78,0.00,3.90
SJF,0,4,25,36,92.97,4297.32,4540.00,2039.62,1200.52,93.00,1798.66,3516.28,3433.00,1619.05,2.78,3.00,1.64
RR,81,5,25,36,88.76,6524.60,6469.00,970.55,1330.20,975.00,1194.05,5741.76,5798.00,968.95,2.78,1.00,3.77
FCFS,0,5,25,36,91.32,6677.32,6874.00,551.26,952.24,992.00,608.74,5897.68,6089.00,619.53,2.78,0.00,4.12
