algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,30,3,25,14,86.39,6837.40,6894.00,988.93,1236.64,1134.00,1237.21,6032.00,6134.00,975.23,2.78,1.00,3.77
RR,31,3,25,14,85.76,6784.64,6990.00,911.00,1289.08,1250.00,1242.54,5979.44,6321.00,883.71,2.78,0.00,3.63
RR,32,3,25,14,85.53,6836.36,6898.00,917.98,1156.44,1151.00,994.75,6031.48,6093.00,887.03,2.78,0.00,3.80
RR,33,3,25,14,85.42,6788.84,6895.00,968.55,1127.20,988.00,1006.29,5981.68,6096.00,909.91,2.78,0.00,3.77
RR,34,3,25,14,87.04,6745.68,7019.00,1151.60,1028.24,993.00,616.19,5939.80,6203.00,1112.19,2.78,2.00,3.73
RR,35,3,25,14,86.26,6791.92,6895.00,1090.08,1145.20,1111.00,950.79,5983.28,6116.00,1061.62,2.78,2.00,3.73
RR,36,3,25,14,86.39,6556.96,6615.00,1125.99,1155.56,1266.00,935.16,5753.80,5973.00,1078.80,2.78,2.00,3.11
RR,37,3,25,14,87.70,6678.16,6827.00,1135.68,1116.32,1074.00,925.07,5873.80,5981.00,1077.60,2.78,1.00,3.38
RR,38,3,25,14,87.23,6537.28,6852.00,1063.68,1182.60,803.00,1215.88,5733.12,6048.00,1040.55,2.78,2.00,3.19
RR,39,3,25,14,88.26,6602.04,6629.00,960.04,1116.76,1114.00,940.46,5798.80,5765.00,919.30,2.78,1.00,3.56
RR,40,3,25,14,88.90,6640.40,6713.00,803.08,869.96,822.00,494.67,5838.32,5906.00,760.51,2.78,0.00,3.87
RR,41,3,25,14,88.80,6683.92,6348.00,802.77,878.28,829.00,494.76,5882.00,5628.00,754.43,2.78,0.00,3.77
RR,42,3,25,14,87.60,6586.20,6761.00,840.35,987.52,864.00,857.01,5784.48,5883.00,812.24,2.78,0.00,3.63
RR,43,3,25,14,88.67,6802.76,6881.00,925.88,887.24,882.00,518.41,5997.72,6129.00,885.73,2.78,0.00,3.80
