algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,80,3,5,14,90.09,1666.80,1676.00,83.88,95.40,103.00,38.86,804.20,802.00,85.15,2.50,2.50,3.54
FCFS,0,3,5,14,92.49,1635.80,1672.00,117.79,89.60,85.00,54.39,781.20,777.00,150.64,2.50,2.50,3.54
SJF,0,3,5,14,83.48,1480.80,1400.00,458.26,95.20,89.00,57.59,591.00,641.00,217.38,1.67,1.00,2.08
RR,80,3,5,25,87.85,1308.60,1341.00,175.68,90.40,85.00,13.87,557.20,541.00,108.42,2.50,2.50,3.54
FCFS,0,3,5,25,90.41,1303.40,1291.00,128.43,83.20,81.00,14.62,563.60,536.00,79.52,2.50,2.50,3.54
SJF,0,3,5,25,91.34,1148.40,1170.00,136.27,67.60,75.00,22.93,410.60,417.00,171.17,2.50,2.50,3.54
RR,80,3,5,36,91.45,1819.60,1765.00,210.13,110.40,126.00,49.77,984.60,933.00,198.44,1.67,2.00,1.53
FCFS,0,3,5,36,93.77,1783.40,1788.00,80.41,106.20,123.00,48.28,955.00,973.00,89.52,1.67,1.00,2.08
SJF,0,3,5,36,86.65,1537.80,1522.00,494.96,127.60,107.00,95.91,669.40,765.00,350.95,1.67,1.00,2.08
RR,80,3,5,47,85.14,1683.80,1680.00,216.40,162.00,141.00,114.73,888.00,869.00,67.68,1.67,1.00,2.08
FCFS,0,3,5,47,92.95,1605.80,1578.00,143.77,125.00,144.00,45.86,817.40,793.00,95.71,2.50,2.50,3.54
SJF,0,3,5,47,93.27,1450.00,1377.00,289.83,106.40,81.00,56.18,664.00,716.00,120.78,2.50,2.50,3.54
RR,80,3,5,58,91.29,1786.80,1740.00,111.98,239.40,150.00,262.66,955.60,917.00,118.07,1.67,2.00,1.53
FCFS,0,3,5,58,93.45,1674.40,1656.00,171.57,192.60,253.00,95.15,848.00,831.00,50.38,1.67,1.00,2.08
SJF,0,3,5,58,80.36,1444.60,1277.00,468.72,141.60,79.00,145.92,617.20,713.00,301.92,1.67,1.00,2.08
